Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
Austria,2019,Total,Both Sexes,Total,Estimate - de jure,"Final figure, complete",2019,8858775,
Austria,2019,Total,Both Sexes,0,Estimate - de jure,"Final figure, complete",2019,84177,
Austria,2019,Total,Both Sexes,0 - 4,Estimate - de jure,"Final figure, complete",2019,435133,
Austria,2019,Total,Both Sexes,1,Estimate - de jure,"Final figure, complete",2019,88581,
Austria,2019,Total,Both Sexes,1月4日,Estimate - de jure,"Final figure, complete",2019,350956,
Austria,2019,Total,Both Sexes,2,Estimate - de jure,"Final figure, complete",2019,89401,
Austria,2019,Total,Both Sexes,3,Estimate - de jure,"Final figure, complete",2019,86764,
Austria,2019,Total,Both Sexes,4,Estimate - de jure,"Final figure, complete",2019,86210,
Austria,2019,Total,Both Sexes,5,Estimate - de jure,"Final figure, complete",2019,84192,
Austria,2019,Total,Both Sexes,5月9日,Estimate - de jure,"Final figure, complete",2019,420286,
Austria,2019,Total,Both Sexes,6,Estimate - de jure,"Final figure, complete",2019,84648,
Austria,2019,Total,Both Sexes,7,Estimate - de jure,"Final figure, complete",2019,83868,
Austria,2019,Total,Both Sexes,8,Estimate - de jure,"Final figure, complete",2019,84864,
Austria,2019,Total,Both Sexes,9,Estimate - de jure,"Final figure, complete",2019,82714,
Austria,2019,Total,Both Sexes,10,Estimate - de jure,"Final figure, complete",2019,84228,
Austria,2019,Total,Both Sexes,10月14日,Estimate - de jure,"Final figure, complete",2019,423273,
Austria,2019,Total,Both Sexes,11,Estimate - de jure,"Final figure, complete",2019,83045,
Austria,2019,Total,Both Sexes,12,Estimate - de jure,"Final figure, complete",2019,84728,
Austria,2019,Total,Both Sexes,13,Estimate - de jure,"Final figure, complete",2019,85025,
Austria,2019,Total,Both Sexes,14,Estimate - de jure,"Final figure, complete",2019,86247,
Austria,2019,Total,Both Sexes,15,Estimate - de jure,"Final figure, complete",2019,84970,
Austria,2019,Total,Both Sexes,15 - 19,Estimate - de jure,"Final figure, complete",2019,439004,
Austria,2019,Total,Both Sexes,16,Estimate - de jure,"Final figure, complete",2019,87085,
Austria,2019,Total,Both Sexes,17,Estimate - de jure,"Final figure, complete",2019,85211,
Austria,2019,Total,Both Sexes,18,Estimate - de jure,"Final figure, complete",2019,89622,
Austria,2019,Total,Both Sexes,19,Estimate - de jure,"Final figure, complete",2019,92116,
Austria,2019,Total,Both Sexes,20,Estimate - de jure,"Final figure, complete",2019,97811,
Austria,2019,Total,Both Sexes,20 - 24,Estimate - de jure,"Final figure, complete",2019,530763,
Austria,2019,Total,Both Sexes,21,Estimate - de jure,"Final figure, complete",2019,102587,
Austria,2019,Total,Both Sexes,22,Estimate - de jure,"Final figure, complete",2019,107938,
Austria,2019,Total,Both Sexes,23,Estimate - de jure,"Final figure, complete",2019,108962,
Austria,2019,Total,Both Sexes,24,Estimate - de jure,"Final figure, complete",2019,113465,
Austria,2019,Total,Both Sexes,25,Estimate - de jure,"Final figure, complete",2019,117472,
Austria,2019,Total,Both Sexes,25 - 29,Estimate - de jure,"Final figure, complete",2019,603708,
Austria,2019,Total,Both Sexes,26,Estimate - de jure,"Final figure, complete",2019,120281,
Austria,2019,Total,Both Sexes,27,Estimate - de jure,"Final figure, complete",2019,122465,
Austria,2019,Total,Both Sexes,28,Estimate - de jure,"Final figure, complete",2019,121965,
Austria,2019,Total,Both Sexes,29,Estimate - de jure,"Final figure, complete",2019,121525,
Austria,2019,Total,Both Sexes,30,Estimate - de jure,"Final figure, complete",2019,121985,
Austria,2019,Total,Both Sexes,30 - 34,Estimate - de jure,"Final figure, complete",2019,603166,
Austria,2019,Total,Both Sexes,31,Estimate - de jure,"Final figure, complete",2019,120121,
Austria,2019,Total,Both Sexes,32,Estimate - de jure,"Final figure, complete",2019,120044,
Austria,2019,Total,Both Sexes,33,Estimate - de jure,"Final figure, complete",2019,120242,
Austria,2019,Total,Both Sexes,34,Estimate - de jure,"Final figure, complete",2019,120774,
Austria,2019,Total,Both Sexes,35,Estimate - de jure,"Final figure, complete",2019,120574,
Austria,2019,Total,Both Sexes,35 - 39,Estimate - de jure,"Final figure, complete",2019,599958,
Austria,2019,Total,Both Sexes,36,Estimate - de jure,"Final figure, complete",2019,123651,
Austria,2019,Total,Both Sexes,37,Estimate - de jure,"Final figure, complete",2019,122864,
Austria,2019,Total,Both Sexes,38,Estimate - de jure,"Final figure, complete",2019,119677,
Austria,2019,Total,Both Sexes,39,Estimate - de jure,"Final figure, complete",2019,113192,
Austria,2019,Total,Both Sexes,40,Estimate - de jure,"Final figure, complete",2019,111312,
Austria,2019,Total,Both Sexes,40 - 44,Estimate - de jure,"Final figure, complete",2019,566656,
Austria,2019,Total,Both Sexes,41,Estimate - de jure,"Final figure, complete",2019,110673,
Austria,2019,Total,Both Sexes,42,Estimate - de jure,"Final figure, complete",2019,111268,
Austria,2019,Total,Both Sexes,43,Estimate - de jure,"Final figure, complete",2019,115472,
Austria,2019,Total,Both Sexes,44,Estimate - de jure,"Final figure, complete",2019,117931,
Austria,2019,Total,Both Sexes,45,Estimate - de jure,"Final figure, complete",2019,117982,
Austria,2019,Total,Both Sexes,45 - 49,Estimate - de jure,"Final figure, complete",2019,642560,
Austria,2019,Total,Both Sexes,46,Estimate - de jure,"Final figure, complete",2019,124549,
Austria,2019,Total,Both Sexes,47,Estimate - de jure,"Final figure, complete",2019,128679,
Austria,2019,Total,Both Sexes,48,Estimate - de jure,"Final figure, complete",2019,131680,
Austria,2019,Total,Both Sexes,49,Estimate - de jure,"Final figure, complete",2019,139670,
Austria,2019,Total,Both Sexes,50,Estimate - de jure,"Final figure, complete",2019,143207,
Austria,2019,Total,Both Sexes,50 - 54,Estimate - de jure,"Final figure, complete",2019,715583,
Austria,2019,Total,Both Sexes,51,Estimate - de jure,"Final figure, complete",2019,142712,
Austria,2019,Total,Both Sexes,52,Estimate - de jure,"Final figure, complete",2019,142669,
Austria,2019,Total,Both Sexes,53,Estimate - de jure,"Final figure, complete",2019,143177,
Austria,2019,Total,Both Sexes,54,Estimate - de jure,"Final figure, complete",2019,143818,
Austria,2019,Total,Both Sexes,55,Estimate - de jure,"Final figure, complete",2019,142278,
Austria,2019,Total,Both Sexes,55 - 59,Estimate - de jure,"Final figure, complete",2019,666885,
Austria,2019,Total,Both Sexes,56,Estimate - de jure,"Final figure, complete",2019,138562,
Austria,2019,Total,Both Sexes,57,Estimate - de jure,"Final figure, complete",2019,134318,
Austria,2019,Total,Both Sexes,58,Estimate - de jure,"Final figure, complete",2019,128414,
Austria,2019,Total,Both Sexes,59,Estimate - de jure,"Final figure, complete",2019,123313,
Austria,2019,Total,Both Sexes,60,Estimate - de jure,"Final figure, complete",2019,117265,
Austria,2019,Total,Both Sexes,60 - 64,Estimate - de jure,"Final figure, complete",2019,543241,
Austria,2019,Total,Both Sexes,61,Estimate - de jure,"Final figure, complete",2019,114279,
Austria,2019,Total,Both Sexes,62,Estimate - de jure,"Final figure, complete",2019,111442,
Austria,2019,Total,Both Sexes,63,Estimate - de jure,"Final figure, complete",2019,103119,
Austria,2019,Total,Both Sexes,64,Estimate - de jure,"Final figure, complete",2019,97136,
Austria,2019,Total,Both Sexes,65,Estimate - de jure,"Final figure, complete",2019,93237,
Austria,2019,Total,Both Sexes,65 - 69,Estimate - de jure,"Final figure, complete",2019,446045,
Austria,2019,Total,Both Sexes,66,Estimate - de jure,"Final figure, complete",2019,91301,
Austria,2019,Total,Both Sexes,67,Estimate - de jure,"Final figure, complete",2019,86345,
Austria,2019,Total,Both Sexes,68,Estimate - de jure,"Final figure, complete",2019,87662,
Austria,2019,Total,Both Sexes,69,Estimate - de jure,"Final figure, complete",2019,87500,
Austria,2019,Total,Both Sexes,70,Estimate - de jure,"Final figure, complete",2019,89143,
Austria,2019,Total,Both Sexes,70 - 74,Estimate - de jure,"Final figure, complete",2019,387425,
Austria,2019,Total,Both Sexes,71,Estimate - de jure,"Final figure, complete",2019,89345,
